dataset,feature_set,model,trial,acquisition,labelled_n,pool_n,holdout_mape,budget_total,labelled_fraction,b0_labelled_n,early_alc_eligible
Formation,set1_dQn_m,AE_ENet,1,coverage,144,146,11.77190716808543,144,0.9863013698630136,12,False
Formation,set1_dQn_m,AE_ENet,1,coverage,146,146,11.717356640597606,146,1.0,12,False
Formation,set1_dQn_m,AE_ENet,1,exploration,12,146,14.047814186516344,12,0.0821917808219178,12,False
Formation,set1_dQn_m,AE_ENet,1,exploration,24,146,14.152328992993905,24,0.1643835616438356,12,True
Formation,set1_dQn_m,AE_ENet,1,exploration,36,146,10.807234110268766,36,0.2465753424657534,12,True
Formation,set1_dQn_m,AE_ENet,1,exploration,48,146,10.515689128873724,48,0.3287671232876712,12,True
Formation,set1_dQn_m,AE_ENet,1,exploration,60,146,11.38039764821683,60,0.410958904109589,12,True
Formation,set1_dQn_m,AE_ENet,1,exploration,72,146,10.371379830934035,72,0.4931506849315068,12,True
Formation,set1_dQn_m,AE_ENet,1,exploration,84,146,11.130410676193971,84,0.5753424657534246,12,True
Formation,set1_dQn_m,AE_ENet,1,exploration,96,146,11.33111272687404,96,0.6575342465753424,12,False
Formation,set1_dQn_m,AE_ENet,1,exploration,108,146,11.46977643866474,108,0.7397260273972602,12,False
Formation,set1_dQn_m,AE_ENet,1,exploration,120,146,11.87590699335151,120,0.821917808219178,12,False
Formation,set1_dQn_m,AE_ENet,1,exploration,132,146,11.866180303554955,132,0.9041095890410958,12,False
Formation,set1_dQn_m,AE_ENet,1,exploration,144,146,11.69869441626133,144,0.9863013698630136,12,False
Formation,set1_dQn_m,AE_ENet,1,exploration,146,146,11.717356640597606,146,1.0,12,False
Formation,set1_dQn_m,AE_ENet,1,exploitation,12,146,14.047814186516344,12,0.0821917808219178,12,False
Formation,set1_dQn_m,AE_ENet,1,exploitation,24,146,11.284110858066176,24,0.1643835616438356,12,True
Formation,set1_dQn_m,AE_ENet,1,exploitation,36,146,13.054715991645647,36,0.2465753424657534,12,True
Formation,set1_dQn_m,AE_ENet,1,exploitation,48,146,14.08175845061722,48,0.3287671232876712,12,True
Formation,set1_dQn_m,AE_ENet,1,exploitation,60,146,13.442099312531466,60,0.410958904109589,12,True
Formation,set1_dQn_m,AE_ENet,1,exploitation,72,146,13.018264315114248,72,0.4931506849315068,12,True
Formation,set1_dQn_m,AE_ENet,1,exploitation,84,146,12.206740617268292,84,0.5753424657534246,12,True
Formation,set1_dQn_m,AE_ENet,1,exploitation,96,146,12.074045745908007,96,0.6575342465753424,12,False
Formation,set1_dQn_m,AE_ENet,1,exploitation,108,146,11.46362830980576,108,0.7397260273972602,12,False
Formation,set1_dQn_m,AE_ENet,1,exploitation,120,146,10.957426183323586,120,0.821917808219178,12,False
Formation,set1_dQn_m,AE_ENet,1,exploitation,132,146,11.496522386898908,132,0.9041095890410958,12,False
Formation,set1_dQn_m,AE_ENet,1,exploitation,144,146,11.704385725554674,144,0.9863013698630136,12,False
Formation,set1_dQn_m,AE_ENet,1,exploitation,146,146,11.717356640597606,146,1.0,12,False
Formation,set1_dQn_m,AE_ENet,1,hybrid,12,146,14.047814186516344,12,0.0821917808219178,12,False
Formation,set1_dQn_m,AE_ENet,1,hybrid,24,146,12.926610983805563,24,0.1643835616438356,12,True
Formation,set1_dQn_m,AE_ENet,1,hybrid,36,146,10.022036737361072,36,0.2465753424657534,12,True
