dataset,feature_set,model,acquisition,mean_relative_improvement_pct,median_relative_improvement_pct,q25_relative_improvement_pct,q75_relative_improvement_pct,mean_delta_alc_mape,median_delta_alc_mape,mean_absolute_alc_mape,mean_baseline_alc_mape,n_trials
Formation,set4_features_metadata,AE_ENet,coverage,-2.449965036084979,-1.2298404186506278,-11.92022950506729,6.40677398203259,-0.20437276867186202,-0.13443982180082958,11.891771066536089,11.687398297864226,10
Formation,set4_features_metadata,AE_ENet,diversity_iterative,-3.4896780908625376,-1.5664272181099166,-16.76787555228011,13.819121504161043,-0.18962969213038453,-0.16681119415416035,11.87702798999461,11.687398297864226,10
Formation,set4_features_metadata,AE_ENet,diversity_oneshot,3.7659435350506585,3.700256769194276,-1.0546197423600594,13.025394165597278,0.5330844424757544,0.3961154959240156,11.154313855388471,11.687398297864226,10
Formation,set4_features_metadata,AE_ENet,exploitation,-6.58254699828756,-11.964340420748286,-15.33519906786343,-1.730477493315625,-0.65524758380816,-1.3617758647884495,12.342645881672386,11.687398297864226,10
Formation,set4_features_metadata,AE_ENet,exploration,-1.500238369105145,1.1895063203243743,-13.34171225089026,10.335488097815132,-0.07693925641169042,0.11752495925609274,11.764337554275917,11.687398297864226,10
Formation,set4_features_metadata,AE_ENet,hybrid,1.0802923394633246,1.2639141664903577,-5.227492665913706,8.221959721886076,0.16617856422105887,0.14149888974166025,11.521219733643168,11.687398297864226,10
Formation,set4_features_metadata,AE_ENet,random_selection,0.0,0.0,0.0,0.0,0.0,0.0,11.687398297864226,11.687398297864226,10
Formation,set4_features_metadata,GPR,coverage,-4.370995677341953,-1.766226326209792,-11.008781476099166,4.88981806866093,-0.5041984377869438,-0.1993430812621746,12.106193483904255,11.601995046117311,10
Formation,set4_features_metadata,GPR,diversity_iterative,-1.9513131418578724,0.8531518312268297,-11.21713370420124,4.78805199254254,-0.13890562109070254,0.09247870607456399,11.740900667208013,11.601995046117311,10
Formation,set4_features_metadata,GPR,diversity_oneshot,2.2757518909450636,-0.6275859393375802,-3.4574440330978593,9.69373413491982,0.3761236299837938,-0.07257283824317895,11.225871416133518,11.601995046117311,10
Formation,set4_features_metadata,GPR,exploitation,-6.131106608744356,-4.367289442743778,-8.437714863446548,-3.233544426024986,-0.6998023204714207,-0.5443211514202373,12.301797366588733,11.601995046117311,10
Formation,set4_features_metadata,GPR,exploration,-7.87668197637593,-5.404424514973181,-16.33142018832136,-1.9869636342936854,-0.8881860318934656,-0.5719536764828748,12.490181078010776,11.601995046117311,10
Formation,set4_features_metadata,GPR,hybrid,-5.680176502486679,-8.14325085850369,-14.62461843874765,2.3638556290150747,-0.7180332939491549,-0.9109888695210504,12.320028340066466,11.601995046117311,10
Formation,set4_features_metadata,GPR,random_selection,0.0,0.0,0.0,0.0,0.0,0.0,11.601995046117311,11.601995046117311,10
Formation,set4_features_metadata,RF,coverage,-13.36118991396673,-12.738915810874786,-27.900447517705558,-7.058071035052545,-1.3883433166709263,-1.6544918657393586,13.749423845514974,12.361080528844045,10
Formation,set4_features_metadata,RF,diversity_iterative,-5.156336414290607,-3.3028883481480182,-15.729778103986776,6.054634484548167,-0.3198774866369799,-0.2934278843471452,12.680958015481027,12.361080528844045,10
Formation,set4_features_metadata,RF,diversity_oneshot,-8.604370988301921,-12.904429231573374,-20.276825992453766,6.003510041346598,-0.6854062696715003,-1.6652526491365132,13.046486798515549,12.361080528844045,10
