dataset,feature_set,model,acquisition,mean_alc_mape,median_alc_mape,sd_trial_alc_mape,mean_alc_area_mape_fraction,n_trials,min_checkpoints,max_checkpoints
ISU_ILCC,set4_features_metadata,AE_ENet,exploration,19.192883686476378,19.330880557072977,3.1451373107406164,7.955599455534248,10,6,6
ISU_ILCC,set4_features_metadata,AE_ENet,hybrid,19.462094845227423,19.868118136756117,2.5163439863320622,8.067189573151262,10,6,6
ISU_ILCC,set4_features_metadata,AE_ENet,random_selection,20.47044084476749,20.19624126776958,4.258357693953004,8.485156826846627,10,6,6
ISU_ILCC,set4_features_metadata,GPR,coverage,21.17140323862629,21.640171307131773,3.7002019958057155,8.77571118699535,10,6,6
ISU_ILCC,set4_features_metadata,GPR,diversity_iterative,20.512025001729302,20.77169946527726,4.026898159814846,8.502393783100228,10,6,6
ISU_ILCC,set4_features_metadata,GPR,diversity_oneshot,20.94180811132366,21.4390263407509,4.463139746171556,8.680542222310326,10,6,6
ISU_ILCC,set4_features_metadata,GPR,exploitation,25.24316341828826,24.26993362585518,8.382875747274221,10.463487427269744,10,6,6
ISU_ILCC,set4_features_metadata,GPR,exploration,20.965063997293488,21.097931557549174,3.0195476474298553,8.690181967790044,10,6,6
ISU_ILCC,set4_features_metadata,GPR,hybrid,20.146669008026826,20.729608880101488,3.845958465925679,8.350950884156195,10,6,6
ISU_ILCC,set4_features_metadata,GPR,random_selection,21.95433789773805,21.421584159273092,3.9611264371023416,9.100243688181573,10,6,6
ISU_ILCC,set4_features_metadata,RF,coverage,25.56657446923441,25.622570304498694,4.1932972900002214,10.597543821444313,10,6,6
ISU_ILCC,set4_features_metadata,RF,diversity_iterative,25.84454980571105,27.231238488702964,5.032880177713945,10.712766758843959,10,6,6
ISU_ILCC,set4_features_metadata,RF,diversity_oneshot,25.216794459573357,25.7415140595006,4.357984865668566,10.452557288942323,10,6,6
ISU_ILCC,set4_features_metadata,RF,exploitation,27.356430757099737,28.48953325218158,4.361309939377495,11.339453163564656,10,6,6
ISU_ILCC,set4_features_metadata,RF,exploration,26.367534723359018,25.901046346434768,6.18114574031336,10.929548071858658,10,6,6
ISU_ILCC,set4_features_metadata,RF,hybrid,24.537745352984736,25.421515047689716,4.067065341898518,10.171086156677607,10,6,6
ISU_ILCC,set4_features_metadata,RF,random_selection,25.62716913607296,26.240827784033403,4.9165181726458735,10.6226607817919,10,6,6
ISU_ILCC,set5_features_metadata_corr95,AE_ENet,coverage,19.969990946260157,20.76940518397893,2.8829298855787644,8.277716454408353,10,6,6
ISU_ILCC,set5_features_metadata_corr95,AE_ENet,diversity_iterative,20.14426352615269,19.911102823996217,3.0894759522823785,8.349953793223913,10,6,6
ISU_ILCC,set5_features_metadata_corr95,AE_ENet,diversity_oneshot,19.864133026463456,19.532587011757755,3.124978012628975,8.233837523922674,10,6,6
ISU_ILCC,set5_features_metadata_corr95,AE_ENet,exploitation,22.10593472241373,21.227162988078668,5.241949741537356,9.163081750223306,10,6,6
ISU_ILCC,set5_features_metadata_corr95,AE_ENet,exploration,19.192883686476378,19.330880557072977,3.1451373107406164,7.955599455534248,10,6,6
ISU_ILCC,set5_features_metadata_corr95,AE_ENet,hybrid,19.462094845227423,19.868118136756117,2.5163439863320622,8.067189573151262,10,6,6
ISU_ILCC,set5_features_metadata_corr95,AE_ENet,random_selection,20.47044084476749,20.19624126776958,4.258357693953004,8.485156826846627,10,6,6
ISU_ILCC,set5_features_metadata_corr95,GPR,coverage,21.17140323862629,21.640171307131773,3.7002019958057155,8.77571118699535,10,6,6
