dataset,acquisition,nfp_percent,pool_n,duration_unit,n_observations,n_trials,n_feature_model_combinations,required_full_life_tests_median,required_full_life_tests_q25,required_full_life_tests_q75,required_pool_fraction_pct_median,required_pool_fraction_pct_q25,required_pool_fraction_pct_q75,required_duration_median,required_duration_q25,required_duration_q75
ISU_ILCC,exploitation,98,193,weeks,136,10,15,128.0,96.0,160.0,66.32124352331607,49.740932642487046,82.90155440414507,331.10956142526453,234.06237847222215,407.19930183531744
ISU_ILCC,hybrid,92,193,weeks,136,10,15,80.0,48.0,128.0,41.45077720207254,24.870466321243523,66.32124352331607,220.18882771164024,147.30198113012565,321.0382572751323
ISU_ILCC,hybrid,95,193,weeks,136,10,15,96.0,64.0,128.0,49.740932642487046,33.160621761658035,66.32124352331607,236.90391658399471,162.50328538359793,362.134630869709
ISU_ILCC,hybrid,98,193,weeks,136,10,15,112.0,64.0,144.0,58.03108808290155,33.160621761658035,74.61139896373057,258.1387615740741,179.28775586970897,391.9471211557541
LSD_Primary,random_selection,92,58,cycles,121,10,15,30.0,18.0,42.0,51.72413793103448,31.03448275862069,72.41379310344827,6045.0,3548.0,7813.0
LSD_Primary,random_selection,95,58,cycles,121,10,15,36.0,18.0,48.0,62.06896551724138,31.03448275862069,82.75862068965517,6568.0,3548.0,9123.0
LSD_Primary,random_selection,98,58,cycles,121,10,15,36.0,18.0,54.0,62.06896551724138,31.03448275862069,93.10344827586206,7101.0,3548.0,10534.0
LSD_Primary,diversity_oneshot,92,58,cycles,121,10,15,18.0,6.0,24.0,31.03448275862069,10.344827586206897,41.37931034482759,3489.0,1077.0,4695.0
LSD_Primary,diversity_oneshot,95,58,cycles,121,10,15,18.0,6.0,24.0,31.03448275862069,10.344827586206897,41.37931034482759,3489.0,1077.0,5090.0
LSD_Primary,diversity_oneshot,98,58,cycles,121,10,15,18.0,12.0,30.0,31.03448275862069,20.6896551724138,51.72413793103448,3817.0,2006.0,6308.0
LSD_Primary,diversity_iterative,92,58,cycles,121,10,15,18.0,6.0,30.0,31.03448275862069,10.344827586206897,51.72413793103448,3255.0,1077.0,6106.0
LSD_Primary,diversity_iterative,95,58,cycles,121,10,15,18.0,6.0,36.0,31.03448275862069,10.344827586206897,62.06896551724138,3375.0,1077.0,6686.0
LSD_Primary,diversity_iterative,98,58,cycles,121,10,15,24.0,12.0,36.0,41.37931034482759,20.6896551724138,62.06896551724138,4219.0,1787.0,7650.0
LSD_Primary,coverage,92,58,cycles,121,10,15,18.0,12.0,30.0,31.03448275862069,20.6896551724138,51.72413793103448,2827.0,1992.0,4866.0
