dataset,feature_set,regressor,target_transform,pool_holdout_split_mode,method,trial,budget_total,mape
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,1,64,19.54296139128898
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,1,72,19.033830311700584
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,1,80,18.920745051226778
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,1,88,18.082780316703225
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,1,96,17.943656758288924
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,1,99,18.30505490472204
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,2,8,15.448572365595572
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,2,16,13.038979363489178
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,2,24,12.95995909252162
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,2,32,11.652556785048162
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,2,40,12.099554301808467
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,2,48,13.247293470316723
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,2,56,13.741899677096328
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,2,64,13.37169756242469
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,2,72,13.90905719915467
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,2,80,13.566880018885628
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,2,88,12.677148469695815
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,2,96,12.819176374128768
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,2,99,13.152763409969005
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,3,8,18.63266419904492
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,3,16,11.610374188182188
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,3,24,15.553155158390291
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,3,32,15.851247718709809
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,3,40,12.810602622334994
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,3,48,14.914963713832766
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,3,56,12.554431082787284
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,3,64,12.779582224376082
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,3,72,12.614602995587502
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,3,80,12.443105634694358
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,3,88,12.28189728272696
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,3,96,12.17409685458387
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,3,99,12.17251784832251
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,4,8,22.331730610878434
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,4,16,12.613474442443351
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,4,24,12.350329772430564
