dataset,feature_set,model,trial,full_pool_mape,model_family
ISU_ILCC,set3_features,RF,7,27.24005055125241,Primary ML
ISU_ILCC,set3_features,RF,8,36.23973286707027,Primary ML
ISU_ILCC,set3_features,RF,9,34.81316436624316,Primary ML
ISU_ILCC,set3_features,RF,10,30.860669481938828,Primary ML
ISU_ILCC,set4_features_metadata,AE_ENet,1,16.774727644781613,Primary ML
ISU_ILCC,set4_features_metadata,AE_ENet,2,15.574294294892765,Primary ML
ISU_ILCC,set4_features_metadata,AE_ENet,3,15.681545714087452,Primary ML
ISU_ILCC,set4_features_metadata,AE_ENet,4,10.66148695039893,Primary ML
ISU_ILCC,set4_features_metadata,AE_ENet,5,19.850339591049625,Primary ML
ISU_ILCC,set4_features_metadata,AE_ENet,6,18.87197871490297,Primary ML
ISU_ILCC,set4_features_metadata,AE_ENet,7,19.05516221187016,Primary ML
ISU_ILCC,set4_features_metadata,AE_ENet,8,22.819729716147357,Primary ML
ISU_ILCC,set4_features_metadata,AE_ENet,9,19.0266573496626,Primary ML
ISU_ILCC,set4_features_metadata,AE_ENet,10,20.004027698928798,Primary ML
ISU_ILCC,set4_features_metadata,GPR,1,14.801307217217827,Primary ML
ISU_ILCC,set4_features_metadata,GPR,2,19.25342427351053,Primary ML
