index,dataset,feature_set,regressor,method,labelled_pool_fraction_pct,labeled_train_count,max_budget_mean,error_reduction_mean_pp,error_reduction_sd_pp,n_trials,error_reduction_sem_pp
6037,LSD_Second,set5_features_metadata_corr95,GPR,exploitation,82.75862068965517,48,58,-0.17484985399056824,2.059940035138909,10,0.6514102354406238
6038,LSD_Second,set5_features_metadata_corr95,GPR,exploitation,93.10344827586206,54,58,0.37031648451741683,3.4809361648080404,10,1.100768667044466
6039,LSD_Second,set5_features_metadata_corr95,GPR,exploitation,100.0,58,58,0.0,0.0,10,0.0
6040,LSD_Second,set5_features_metadata_corr95,GPR,exploration,10.344827586206897,6,58,0.0,0.0,10,0.0
6041,LSD_Second,set5_features_metadata_corr95,GPR,exploration,20.689655172413794,12,58,-4.666032077118161,15.973956753389622,10,5.0514086585739815
6042,LSD_Second,set5_features_metadata_corr95,GPR,exploration,31.03448275862069,18,58,-3.6034803538083553,9.814043499175753,10,3.1034730513364193
6043,LSD_Second,set5_features_metadata_corr95,GPR,exploration,41.37931034482759,24,58,-2.3325169247243953,9.586314072584317,10,3.031458683509114
6044,LSD_Second,set5_features_metadata_corr95,GPR,exploration,51.724137931034484,30,58,-1.8204951839754535,8.280086263795024,10,2.6183931816266064
6045,LSD_Second,set5_features_metadata_corr95,GPR,exploration,62.06896551724138,36,58,-2.750886952571944,4.787368558667018,10,1.5138988644065203
6046,LSD_Second,set5_features_metadata_corr95,GPR,exploration,72.41379310344827,42,58,0.8011541770331331,3.56672970847608,10,1.1278989676972784
6047,LSD_Second,set5_features_metadata_corr95,GPR,exploration,82.75862068965517,48,58,-0.81934793588507,3.754603661578317,10,1.187309928179551
6048,LSD_Second,set5_features_metadata_corr95,GPR,exploration,93.10344827586206,54,58,-0.782254805614682,1.6445763323856701,10,0.5200606996344852
6049,LSD_Second,set5_features_metadata_corr95,GPR,exploration,100.0,58,58,0.0,0.0,10,0.0
6050,LSD_Second,set5_features_metadata_corr95,GPR,hybrid,10.344827586206897,6,58,0.0,0.0,10,0.0
6051,LSD_Second,set5_features_metadata_corr95,GPR,hybrid,20.689655172413794,12,58,-4.201517764272433,15.240869463163284,10,4.819586102490369
6052,LSD_Second,set5_features_metadata_corr95,GPR,hybrid,31.03448275862069,18,58,-1.0046067638421519,9.759268777147899,10,3.0861517633553577
6053,LSD_Second,set5_features_metadata_corr95,GPR,hybrid,41.37931034482759,24,58,-1.9514816584961494,10.698031824616834,10,3.3830147046756176
6054,LSD_Second,set5_features_metadata_corr95,GPR,hybrid,51.724137931034484,30,58,-4.182713150256036,12.609040251927741,10,3.9873286304834967
6055,LSD_Second,set5_features_metadata_corr95,GPR,hybrid,62.06896551724138,36,58,-2.0501854173964102,4.868445226083755,10,1.5395375578198052
6056,LSD_Second,set5_features_metadata_corr95,GPR,hybrid,72.41379310344827,42,58,-0.8581912943320559,4.773646391669554,10,1.5095595341920023
6057,LSD_Second,set5_features_metadata_corr95,GPR,hybrid,82.75862068965517,48,58,-0.6417044271358524,3.984403805758022,10,1.2599791144038464
6058,LSD_Second,set5_features_metadata_corr95,GPR,hybrid,93.10344827586206,54,58,-0.7522062914440205,1.60357914927944,10,0.5070962520078187
6059,LSD_Second,set5_features_metadata_corr95,GPR,hybrid,100.0,58,58,0.0,0.0,10,0.0
6198,MIT,set1_dQn_m,GPR,coverage,8.080808080808081,8,99,0.0,0.0,10,0.0
6199,MIT,set1_dQn_m,GPR,coverage,16.161616161616163,16,99,0.899580208695661,4.03744487376759,10,1.276752172847659
6200,MIT,set1_dQn_m,GPR,coverage,24.242424242424242,24,99,0.4300988132498217,2.434589300133177,10,0.7698847355496115
6201,MIT,set1_dQn_m,GPR,coverage,32.323232323232325,32,99,-0.228770705056011,1.7933702967026288,10,0.567113482567226
6202,MIT,set1_dQn_m,GPR,coverage,40.4040404040404,40,99,-0.32009468594771073,1.4726054354626035,10,0.4656787270805919
